文件	行号	类型	文本
AIInfo.csv	1	中文	編號
AIInfo.csv	1	中文	企業名稱
AIInfo.csv	1	中文	負責人
AIInfo.csv	1	中文	主力產品
AIInfo.csv	1	中文	擅長產業
AIInfo.csv	1	中文	競爭策略
AIInfo.csv	1	中文	競爭優勢
AIInfo.csv	2	中文	單菱商社
AIInfo.csv	2	中文	武田光
AIInfo.csv	2	中文	輪車類
AIInfo.csv	2	中文	製造業、礦業
AIInfo.csv	2	中文	強勢作風
AIInfo.csv	2	中文	創業資本雄厚
AIInfo.csv	3	中文	耐急企業
AIInfo.csv	3	中文	呂薔芢
AIInfo.csv	3	中文	紡織類
AIInfo.csv	3	中文	製造業、零售業
AIInfo.csv	3	中文	消費導向
AIInfo.csv	3	中文	維修費用低廉
AIInfo.csv	4	中文	風力富企業
AIInfo.csv	4	中文	賈美女
AIInfo.csv	4	中文	畜牧類
AIInfo.csv	4	中文	農牧業、製造業
AIInfo.csv	4	中文	謹慎發展
AIInfo.csv	4	中文	農業技術頂尖
AIInfo.csv	5	中文	七十一企業
AIInfo.csv	5	中文	郝贏先
AIInfo.csv	5	中文	食品類
AIInfo.csv	5	中文	零售業、製造業
AIInfo.csv	5	中文	快速擴張
AIInfo.csv	5	中文	低薪政策優勢
AIInfo.csv	6	中文	微硬公司
AIInfo.csv	6	中文	比爾XP
AIInfo.csv	6	中文	電腦類
AIInfo.csv	6	中文	零售業、製造業
AIInfo.csv	6	中文	追求技術
AIInfo.csv	6	中文	生產技術先進
AIInfo.csv	7	中文	敗耳企業
AIInfo.csv	7	中文	克勞斯
AIInfo.csv	7	中文	化工類
AIInfo.csv	7	中文	製造業、礦業
AIInfo.csv	7	中文	增加產能
AIInfo.csv	7	中文	廠房興建快速
AI_style.csv	1	中文	AI_style 編號
AI_style.csv	1	中文	一開始持有的礦產
AI_style.csv	1	中文	喜歡畜牧類產品的程度
AI_style.csv	1	中文	農業類
AI_style.csv	1	中文	礦業類
AI_style.csv	1	中文	紡纖類
AI_style.csv	1	中文	木工類
AI_style.csv	1	中文	塑膠類
AI_style.csv	1	中文	電子類
AI_style.csv	1	中文	電機類
AI_style.csv	1	中文	電腦類
AI_style.csv	1	中文	IC類
AI_style.csv	1	中文	化學類
AI_style.csv	1	中文	玻璃陶瓷類
AI_style.csv	1	中文	車輛類
AI_style.csv	1	中文	書籍類
AI_style.csv	1	中文	食品類
AI_style.csv	1	中文	原料加工類
AI_style.csv	1	中文	精工處理類
AI_style.csv	1	中文	喜歡零售的程度(商場)
AI_style.csv	1	中文	喜歡生產的程度(工廠)
AI_style.csv	1	中文	喜歡採礦的程度(礦場)
AI_style.csv	1	中文	喜歡種田的程度(農場)
AI_style.csv	1	中文	對品質的要求
AI_style.csv	1	中文	對速度的要求
AI_style.csv	1	中文	龜毛程度(獲利不夠高的事不做)
AI_style.csv	1	中文	保守程度(分數越高會保留越多現金)
AI_style.csv	1	中文	起始資金
AI_style.csv	2	数值	-1
AI_style.csv	2	数值	50
AI_style.csv	2	数值	100
AI_style.csv	3	数值	10
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	600
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	800
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	1200
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	50
AI_style.csv	3	数值	80
AI_style.csv	3	数值	60
AI_style.csv	3	数值	10
AI_style.csv	3	数值	50
AI_style.csv	3	数值	100
AI_style.csv	3	数值	100
AI_style.csv	3	数值	500
AI_style.csv	4	数值	22
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	1200
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	700
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	100
AI_style.csv	4	数值	700
AI_style.csv	4	数值	60
AI_style.csv	4	数值	100
AI_style.csv	4	数值	10
AI_style.csv	4	数值	30
AI_style.csv	4	数值	100
AI_style.csv	4	数值	50
AI_style.csv	4	数值	100
AI_style.csv	4	数值	175
AI_style.csv	4	数值	300
AI_style.csv	5	数值	31
AI_style.csv	5	数值	1000
AI_style.csv	5	数值	800
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	800
AI_style.csv	5	数值	100
AI_style.csv	5	数值	100
AI_style.csv	5	数值	50
AI_style.csv	5	数值	60
AI_style.csv	5	数值	10
AI_style.csv	5	数值	80
AI_style.csv	5	数值	50
AI_style.csv	5	数值	50
AI_style.csv	5	数值	100
AI_style.csv	5	数值	200
AI_style.csv	5	数值	350
AI_style.csv	6	数值	13
AI_style.csv	6	数值	100
AI_style.csv	6	数值	100
AI_style.csv	6	数值	100
AI_style.csv	6	数值	100
AI_style.csv	6	数值	500
AI_style.csv	6	数值	100
AI_style.csv	6	数值	100
AI_style.csv	6	数值	100
AI_style.csv	6	数值	100
AI_style.csv	6	数值	100
AI_style.csv	6	数值	100
AI_style.csv	6	数值	500
AI_style.csv	6	数值	100
AI_style.csv	6	数值	500
AI_style.csv	6	数值	800
AI_style.csv	6	数值	500
AI_style.csv	6	数值	100
AI_style.csv	6	数值	100
AI_style.csv	6	数值	60
AI_style.csv	6	数值	10
AI_style.csv	6	数值	30
AI_style.csv	6	数值	25
AI_style.csv	6	数值	50
AI_style.csv	6	数值	100
AI_style.csv	6	数值	150
AI_style.csv	6	数值	370
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	700
AI_style.csv	7	数值	100
AI_style.csv	7	数值	1200
AI_style.csv	7	数值	700
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	100
AI_style.csv	7	数值	60
AI_style.csv	7	数值	30
AI_style.csv	7	数值	10
AI_style.csv	7	数值	75
AI_style.csv	7	数值	50
AI_style.csv	7	数值	100
AI_style.csv	7	数值	150
AI_style.csv	7	数值	320
AI_style.csv	8	数值	25
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	600
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	800
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	1200
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	100
AI_style.csv	8	数值	50
AI_style.csv	8	数值	90
AI_style.csv	8	数值	50
AI_style.csv	8	数值	10
AI_style.csv	8	数值	50
AI_style.csv	8	数值	50
AI_style.csv	8	数值	100
AI_style.csv	8	数值	125
AI_style.csv	8	数值	340
AI_style.csv	9	数值	28
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	100
AI_style.csv	9	数值	40
AI_style.csv	9	数值	50
AI_style.csv	9	数值	100
AI_style.csv	9	数值	110
AI_style.csv	9	数值	150
AI_style.csv	10	数值	30
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	100
AI_style.csv	10	数值	30
AI_style.csv	10	数值	50
AI_style.csv	10	数值	100
AI_style.csv	10	数值	170
AI_style.csv	10	数值	170
AI_style.csv	11	数值	19
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
