文件	段号	段内偏移	编码	字符串
stage00.stg	0	0xC	ascii	Map00
stage00.stg	1	0x2	big5	創業王企業
stage00.stg	2	0x4	big5	中商場
stage00.stg	67	0x2	big5	單菱商社
stage00.stg	68	0x4	big5	大商場
stage00.stg	96	0xB	ascii	X:+8
stage00.stg	102	0xB	ascii	YZ?6
stage00.stg	105	0xB	ascii	YD}5
stage00.stg	106	0xB	ascii	YkP7
stage00.stg	110	0xB	ascii	Yz@4
stage00.stg	121	0xB	ascii	YAS6
stage00.stg	122	0xB	ascii	YQ-3
stage00.stg	124	0xB	ascii	Y-j4
stage00.stg	136	0xB	ascii	Xvy7
stage00.stg	138	0xB	ascii	Y-s4
stage00.stg	170	0x2	big5	耐急企業
stage00.stg	171	0x2	big5	風力富企業
stage00.stg	172	0x2	big5	七十一企業
stage00.stg	173	0x2	big5	微硬公司
stage00.stg	174	0x2	big5	敗耳企業
stage00.stg	175	0x2	big5	大牧場企業
stage00.stg	176	0x2	big5	農產公司
stage00.stg	177	0x2	big5	資源產業
stage00.stg	178	0x2	big5	木造實業
stage00.stg	179	0x2	big5	文房企業
stage00.stg	180	0x2	big5	全電子企業
stage00.stg	181	0x2	big5	小家電公司
stage00.stg	182	0x2	big5	大矽谷產業
stage00.stg	183	0x2	big5	陶藝企業
stage00.stg	184	0x2	big5	書香企業
stage00.stg	185	0x2	big5	有巢氏實業
stage00.stg	186	0x2	big5	精工企業
stage00.stg	187	0x2	big5	加樂福企業
stage01.stg	0	0xC	ascii	Map07
stage01.stg	1	0x2	big5	創業王企業
stage01.stg	2	0x4	big5	合併廠
stage01.stg	49	0x4	big5	合併廠
stage01.stg	131	0x2	big5	單菱商社
stage01.stg	132	0x4	big5	合併廠
stage01.stg	219	0x2	big5	耐急企業
stage01.stg	220	0x2	big5	風力富企業
stage01.stg	221	0x2	big5	七十一企業
stage01.stg	222	0x2	big5	微硬公司
stage01.stg	223	0x2	big5	敗耳企業
stage01.stg	224	0x2	big5	大牧場企業
stage01.stg	225	0x2	big5	農產公司
stage01.stg	226	0x2	big5	資源產業
stage01.stg	227	0x2	big5	木造實業
stage01.stg	228	0x2	big5	文房企業
stage01.stg	229	0x2	big5	全電子企業
stage01.stg	230	0x2	big5	小家電公司
stage01.stg	231	0x2	big5	大矽谷產業
stage01.stg	232	0x2	big5	陶藝企業
stage01.stg	233	0x2	big5	書香企業
stage01.stg	234	0x2	big5	有巢氏實業
stage01.stg	235	0x2	big5	精工企業
stage01.stg	236	0x2	big5	加樂福企業
stage02.stg	0	0xC	ascii	Map09
stage02.stg	1	0x2	big5	創業王企業
stage02.stg	2	0x4	big5	中商場
stage02.stg	4	0x2	big5	單菱商社
stage02.stg	5	0x4	big5	中工廠
stage02.stg	63	0x4	big5	矽礦場
stage02.stg	87	0x4	big5	油礦場
stage02.stg	142	0x4	big5	砂土場
