APKG	序号	文件名	偏移	大小
DATA.APKG	0	AIInfo.csv	12	557
DATA.APKG	1	AI_style.csv	569	2459
DATA.APKG	2	building.csv	3028	6334
DATA.APKG	3	build_relation.csv	9362	3879
DATA.APKG	4	Citys.csv	13241	350
DATA.APKG	5	data.7z	13591	62364
DATA.APKG	6	formula.csv	75955	5400
DATA.APKG	7	gnd32x16.glt	81355	636
DATA.APKG	8	gnd32x16.lt	81991	705
DATA.APKG	9	Machine_group.csv	82696	1174
DATA.APKG	10	Machine_type.csv	83870	190641
DATA.APKG	11	mapcity.csv	274511	1925
DATA.APKG	12	maps.csv	276436	1716
DATA.APKG	13	Mur.csv	278152	32418
DATA.APKG	14	news.csv	310570	3184
DATA.APKG	15	People_type.csv	313754	258
DATA.APKG	16	product1.csv	314012	7106
DATA.APKG	17	product2.csv	321118	6878
DATA.APKG	18	road32x16.glt	327996	289
DATA.APKG	19	road32x16.lt	328285	831
DATA.APKG	20	smapclr.csv	329116	1318
DATA.APKG	21	smapmenu.csv	330434	333
DATA.APKG	22	Stages.csv	330767	7633
DATA.APKG	23	Talk.csv	338400	12978
DATA.APKG	24	Talk_idx.csv	351378	1842
DATA.APKG	25	txts.csv	353220	1694
FACE.APKG	0	balance_info.fce	12	1097
FACE.APKG	1	balance_info.h	1109	798
FACE.APKG	2	Bank.fce	1907	673
FACE.APKG	3	Bank.h	2580	453
FACE.APKG	4	Board.fce	3033	157
FACE.APKG	5	Board.h	3190	34
FACE.APKG	6	buildbtn.fce	3224	196
FACE.APKG	7	buildbtn.h	3420	121
FACE.APKG	8	BuildingFirm.fce	3541	774
FACE.APKG	9	BuildingFirm.h	4315	907
FACE.APKG	10	buyfact.fce	5222	654
FACE.APKG	11	buyfact.h	5876	312
FACE.APKG	12	BuyLandConfirm.fce	6188	178
FACE.APKG	13	BuyLandConfirm.h	6366	38
FACE.APKG	14	buystuff_confirm.fce	6404	259
FACE.APKG	15	buystuff_confirm.h	6663	73
FACE.APKG	16	ceo_info.fce	6736	485
FACE.APKG	17	ceo_info.h	7221	225
FACE.APKG	18	ceo_regist.fce	7446	370
FACE.APKG	19	ceo_regist.h	7816	149
FACE.APKG	20	colorlist.fce	7965	185
FACE.APKG	21	colorlist.h	8150	58
FACE.APKG	22	CompanyInfo.fce	8208	405
FACE.APKG	23	CompanyInfo.h	8613	182
FACE.APKG	24	Dorm-1.fce	8795	178
FACE.APKG	25	Dorm-1.h	8973	38
FACE.APKG	26	Dorm.fce	9011	208
FACE.APKG	27	Dorm.h	9219	70
FACE.APKG	28	EnemyFirmInfo.fce	9289	335
FACE.APKG	29	EnemyFirmInfo.h	9624	158
FACE.APKG	30	ExitButton.fce	9782	223
FACE.APKG	31	ExitButton.h	10005	64
FACE.APKG	32	extface_putland.fce	10069	716
FACE.APKG	33	extface_putland.h	10785	481
FACE.APKG	34	face_btn1.fce	11266	180
