文件	行号	内容
Bank.h	1	enum {
Bank.h	2	BTN_EXIT,
Bank.h	3	UNUSE_OBJ2,
Bank.h	4	UNUSE_OBJ3,
Bank.h	5	UNUSE_OBJ4,
Bank.h	6	UNUSE_OBJ5,
Bank.h	7	UNUSE_OBJ6,
Bank.h	8	UNUSE_OBJ7,
Bank.h	9	UNUSE_OBJ8,
Bank.h	10	UNUSE_OBJ9,
Bank.h	11	UNUSE_OBJ10,
Bank.h	12	UNUSE_OBJ11,
Bank.h	13	UNUSE_OBJ12,
Bank.h	14	UNUSE_OBJ13,
Bank.h	15	COMPANY_VALUE,
Bank.h	16	UNUSE_OBJ15,
Bank.h	17	C1,
Bank.h	18	UNUSE_OBJ17,
Bank.h	19	CREDIT_LINE,
Bank.h	20	LOAN,
Bank.h	21	LANDING_RATE,
Bank.h	22	UNUSE_OBJ23,
Bank.h	23	INTEREST,
Bank.h	24	NEW_LOAN_DEC,
Bank.h	25	NEW_LOAN_INC,
Bank.h	26	NEW_LOAN,
Bank.h	27	CREDIT_LINE1,
Bank.h	28	UNUSE_OBJ30,
Bank.h	29	ADD_INTEREST,
Bank.h	30	PAYBACK_INC,
Bank.h	31	PAYBACK,
Bank.h	32	PAYBACK_DEC,
Bank.h	33	PAYBACK_LIMIT,
Bank.h	34	SUB_INTEREST,
Bank.h	35	UNUSE_OBJ40,
Bank.h	36	ADD_OK,
Bank.h	37	SUB_OK,
Bank.h	38	UNUSE_OBJ43
Bank.h	39	};
Board.h	1	enum {
Board.h	2	BTN_TITLEBAR,
Board.h	3	SHOW_NAME
Board.h	4	};
BuildingFirm.h	1	enum {
BuildingFirm.h	2	BTN_DECONST,
BuildingFirm.h	3	BTN_WOOD_BUTTON,
BuildingFirm.h	4	BTN_DIRT_BUTTON,
BuildingFirm.h	5	BTN_IRON_BUTTON,
BuildingFirm.h	6	BTN_BRICK_BUTTON,
BuildingFirm.h	7	BTN_CONCRETE_BUTTON,
BuildingFirm.h	8	BTN_GLASS_BUTTON,
BuildingFirm.h	9	BTN_STEEL_BUTTON,
BuildingFirm.h	10	UNUSE_OBJ51,
BuildingFirm.h	11	UNUSE_OBJ52,
BuildingFirm.h	12	UNUSE_OBJ53,
BuildingFirm.h	13	UNUSE_OBJ54,
BuildingFirm.h	14	UNUSE_OBJ55,
BuildingFirm.h	15	UNUSE_OBJ56,
BuildingFirm.h	16	UNUSE_OBJ57,
BuildingFirm.h	17	SHOW_WOOD_OWN,
BuildingFirm.h	18	SHOW_DIRT_OWN,
BuildingFirm.h	19	SHOW_IRON_OWN,
BuildingFirm.h	20	SHOW_BRICK_OWN,
BuildingFirm.h	21	SHOW_CONCRETE_OWN,
BuildingFirm.h	22	SHOW_GLASS_OWN,
BuildingFirm.h	23	SHOW_STEEL_OWN,
BuildingFirm.h	24	UNUSE_OBJ157,
BuildingFirm.h	25	UNUSE_OBJ152,
BuildingFirm.h	26	UNUSE_OBJ153,
BuildingFirm.h	27	UNUSE_OBJ154,
BuildingFirm.h	28	UNUSE_OBJ155,
BuildingFirm.h	29	UNUSE_OBJ156,
BuildingFirm.h	30	UNUSE_OBJ357,
BuildingFirm.h	31	SHOW_WOOD_NEED,
BuildingFirm.h	32	SHOW_DIRT_NEED,
BuildingFirm.h	33	SHOW_IRON_NEED,
BuildingFirm.h	34	SHOW_BRICK_NEED,
BuildingFirm.h	35	SHOW_CONCRETE_NEED,
