字符串	类型	编码	出现次数	来源
-1	数值	big5	612	data/AI_style.csv@L2 | data/Machine_type.csv@L10 | data/Machine_type.csv@L100 | data/Machine_type.csv@L101 | data/Machine_type.csv@L102 | data/Machine_type.csv@L103 ...
10	数值	big5	590	data/AI_style.csv@L12 | data/AI_style.csv@L21 | data/AI_style.csv@L3 | data/AI_style.csv@L4 | data/AI_style.csv@L5 | data/AI_style.csv@L6 ...
100	数值	big5	396	data/AI_style.csv@L10 | data/AI_style.csv@L11 | data/AI_style.csv@L12 | data/AI_style.csv@L13 | data/AI_style.csv@L14 | data/AI_style.csv@L15 ...
-2	数值	big5	279	data/Machine_type.csv@L10 | data/Machine_type.csv@L100 | data/Machine_type.csv@L102 | data/Machine_type.csv@L104 | data/Machine_type.csv@L105 | data/Machine_type.csv@L106 ...
60	数值	big5	231	data/AI_style.csv@L17 | data/AI_style.csv@L3 | data/AI_style.csv@L4 | data/AI_style.csv@L5 | data/AI_style.csv@L6 | data/AI_style.csv@L7 ...
20	数值	big5	210	data/AI_style.csv@L11 | data/Machine_group.csv@L3 | data/Machine_type.csv@L106 | data/Machine_type.csv@L111 | data/Machine_type.csv@L124 | data/Machine_type.csv@L127 ...
小工廠	中文	big5	201	data/txts.csv@L36 | stage/stage03.stg@seg1097+0x4 | stage/stage03.stg@seg1158+0x4 | stage/stage03.stg@seg1186+0x4 | stage/stage03.stg@seg1212+0x4 | stage/stage03.stg@seg1425+0x4 ...
50	数值	big5	158	data/AI_style.csv@L10 | data/AI_style.csv@L11 | data/AI_style.csv@L12 | data/AI_style.csv@L13 | data/AI_style.csv@L14 | data/AI_style.csv@L15 ...
16	数值	big5	153	data/AI_style.csv@L18 | data/Machine_group.csv@L18 | data/Machine_group.csv@L3 | data/Machine_type.csv@L100 | data/Machine_type.csv@L102 | data/Machine_type.csv@L105 ...
12	数值	big5	144	data/AI_style.csv@L14 | data/AI_style.csv@L21 | data/Machine_group.csv@L14 | data/Machine_group.csv@L17 | data/Machine_type.csv@L104 | data/Machine_type.csv@L11 ...
enum {	ASCII	ascii	138	Face/Bank.h@L1 | Face/Board.h@L1 | Face/BuildingFirm.h@L1 | Face/BuyLandConfirm.h@L1 | Face/CompanyInfo.h@L1 | Face/Dorm-1.h@L1 ...
};	ASCII	ascii	138	Face/Bank.h@L39 | Face/Board.h@L4 | Face/BuildingFirm.h@L60 | Face/BuyLandConfirm.h@L5 | Face/CompanyInfo.h@L16 | Face/Dorm-1.h@L5 ...
80	数值	big5	137	data/AI_style.csv@L18 | data/AI_style.csv@L3 | data/AI_style.csv@L5 | data/Machine_group.csv@L8 | data/Machine_type.csv@L103 | data/Machine_type.csv@L108 ...
110	数值	big5	133	data/AI_style.csv@L19 | data/AI_style.csv@L20 | data/AI_style.csv@L9 | data/Machine_group.csv@L3 | data/Machine_type.csv@L100 | data/Machine_type.csv@L103 ...
18	数值	big5	123	data/AI_style.csv@L19 | data/AI_style.csv@L20 | data/Machine_group.csv@L3 | data/Machine_type.csv@L10 | data/Machine_type.csv@L102 | data/Machine_type.csv@L103 ...
14	数值	big5	117	data/AI_style.csv@L16 | data/Machine_group.csv@L16 | data/Machine_group.csv@L17 | data/Machine_type.csv@L10 | data/Machine_type.csv@L107 | data/Machine_type.csv@L11 ...
中工廠	中文	big5	106	data/txts.csv@L37 | stage/stage02.stg@seg248+0x4 | stage/stage02.stg@seg408+0x4 | stage/stage02.stg@seg5+0x4 | stage/stage02.stg@seg670+0x4 | stage/stage03.stg@seg1154+0x4 ...
40	数值	big5	105	data/AI_style.csv@L9 | data/Machine_group.csv@L16 | data/Machine_type.csv@L127 | data/Machine_type.csv@L274 | data/Machine_type.csv@L279 | data/Machine_type.csv@L288 ...
砂土場	中文	big5	103	data/txts.csv@L45 | stage/stage02.stg@seg142+0x4 | stage/stage03.stg@seg1056+0x4 | stage/stage03.stg@seg1278+0x4 | stage/stage03.stg@seg1330+0x4 | stage/stage03.stg@seg386+0x4 ...
25	数值	big5	101	data/AI_style.csv@L6 | data/AI_style.csv@L8 | data/Machine_group.csv@L12 | data/Machine_type.csv@L107 | data/Machine_type.csv@L108 | data/Machine_type.csv@L112 ...
30	数值	big5	100	data/AI_style.csv@L10 | data/AI_style.csv@L4 | data/AI_style.csv@L6 | data/AI_style.csv@L7 | data/Machine_group.csv@L13 | data/Machine_type.csv@L109 ...
15	数值	big5	96	data/AI_style.csv@L14 | data/AI_style.csv@L17 | data/Machine_group.csv@L17 | data/Machine_type.csv@L100 | data/Machine_type.csv@L110 | data/Machine_type.csv@L115 ...
