005751E0: 00577126 WideCharToMultiByte
005751E4: 0057713A GetAddress
005751E8: 00577145 AutoAssemble
005751EC: 00577152 SHGetSpecialFolderLocati
005751F0: 0057716D SHGetPathFromIDListA
005751F4: 00577182 OpenProcess
005751F8: 0057718E CreateToolhelp32Snapshot
005751FC: 005771A7 Module32First
00575200: 005771B5 CloseHandle
00575204: 005771C1 GetWindowLongA
00575208: 005771D0 SetWindowLongA
0057520C: 005771DF GetClientRect
00575210: 005771ED SetPropA
00575214: 005771F6 FindWindowExA
00575218: 00577204 GetWindowTextLengthA
0057521C: 00577219 GetWindowTextA
00575220: 00577228 SendMessageA
00575224: 00577235 GetDC
00575228: 0057723B ReleaseDC
0057522C: 00577245 GetPropA
00575230: 0057724E TrackMouseEvent
00575234: 0057725E InvalidateRect
00575238: 0057726D CallWindowProcA
0057523C: 0057727D Sleep
00575240: 00577283 SetBkMode
00575244: 0057728D BeginPaint
00575248: 00577298 EndPaint
0057524C: 005772A1 DefWindowProcA
00575250: 005772B0 BitBlt
00575254: 005772B7 GetParent
00575258: 005772C1 CreateCompatibleDC
0057525C: 005772D4 SelectObject
00575260: 005772E1 DeleteObject
00575264: 005772EE CreateDIBSection
00575268: 005772FF GetWindowRect
0057526C: 0057730D GetAncestor
00575270: 00577319 GetClassNameA
00575274: 00577327 SendMessageA
00575278: 00577334 SelectClipRgn
0057527C: 00577342 GetScrollBarInfo
00575280: 00577353 FindWindowExA
00575284: 00577361 IsWindowVisible
00575288: 00577371 ExcludeClipRect
0057528C: 00577381 DeleteDC
00575290: 0057738A GetDeviceCaps
00575294: 00577398 KillTimer
00575298: 005773A2 SetTimer
0057529C: 005773AB GdiAlphaBlend
005752A0: 005773B9 UpdateLayeredWindow
005752A4: 005773CD SendMessageA
005752A8: 005773DA GetModuleHandleA
005752AC: 005773EB CreateWindowExA
005752B0: 005773FB SetWindowPos
005752B4: 00577408 OffsetRect
005752B8: 00577413 ShowWindow
005752BC: 0057741E GetWindowDC
005752C0: 0057742A TransparentBlt
005752C4: 00577439 SetTextColor
005752C8: 00577446 CreatePatternBrush
005752CC: 00577459 SendMessageA
005752D0: 00577466 SendMessageA
005752D4: 00577473 IsWindowEnabled
005752D8: 00577483 lstrcpyn
005752DC: 0057748C CallWindowProcA
005752E0: 0057749C ClientToScreen
005752E4: 005774AB ImageList_Destroy
005752E8: 005774BD SendMessageA
005752EC: 005774CA ImageList_GetIcon
005752F0: 005774DC DestroyIcon
005752F4: 005774E8 GetCurrentProcess
005752F8: 005774FA ReadProcessMemory
005752FC: 0057750C GetDesktopWindow
00575300: 0057751D GetStockObject
00575304: 0057752C GetCurrentProcess
00575308: 0057753E ReadProcessMemory
0057530C: 00577550 SendMessageA
00575310: 0057755D UpdateWindow
00575314: 0057756A GetMenuItemInfoA
00575318: 0057757B SetLayeredWindowAttribut
0057531C: 00577596 MoveWindow
00575320: 005775A1 GetUpdateRect
00575324: 005775AF SendMessageA
00575328: 005775BC DrawIconEx
0057532C: 005775C7 GetPixel
00575330: 005775D0 SetPixel
00575334: 005775D9 PostMessageA
00575338: 005775E6 DestroyWindow
0057533C: 005775F4 EnableWindow
00575340: 00577601 lstrcpyn
00575344: 0057760A SystemParametersInfoA
00575348: 00577620 RtlMoveMemory
0057534C: 0057762E RtlMoveMemory
00575350: 0057763C RtlMoveMemory
00575354: 0057764A GetCurrentProcessId
00575358: 0057765E SetWinEventHook
0057535C: 0057766E UnhookWinEvent
00575360: 0057767D CreateRoundRectRgn
00575364: 00577690 SetWindowRgn
00575368: 0057769D RtlMoveMemory
0057536C: 005776AB RtlMoveMemory
00575370: 005776B9 GdiplusShutdown
00575374: 005776C9 StretchBlt
00575378: 005776D4 CreateRectRgn
0057537C: 005776E2 ExtSelectClipRgn
00575380: 005776F3 DestroyMenu
00575384: 005776FF CreateSolidBrush
00575388: 00577710 FillRect
0057538C: 00577719 IsWindow
00575390: 00577722 LoadCursorA
00575394: 0057772E SetCursor
00575398: 00577738 ChildWindowFromPoint
0057539C: 0057774D Process32First
005753A0: 0057775C Process32Next
005753A4: 0057776A UnregisterHotKey
005753A8: 0057777B RegisterHotKey
005753AC: 0057778A SetWindowLongA
005753B0: 00577799 CallWindowProcA
005753B4: 005777A9 SetProcessWorkingSetSize
005753B8: 005777C2 CreateToolhelp32Snapshot
005753BC: 005777DB Module32First
005753C0: 005777E9 Module32Next
005753C4: 005777F6 CloseHandle
005753C8: 00577802 OpenProcess
005753CC: 0057780E ReadProcessMemory
005753D0: 00577820 WriteProcessMemory
005753D4: 00577833 WriteProcessMemory
005753D8: 00577846 WriteProcessMemory
005753DC: 00577859 WriteProcessMemory
005753E0: 0057786C ReadProcessMemory
005753E4: 0057787E VirtualQuery
005753E8: 0057788B StrToIntExA
005753EC: 00577897 VirtualProtect
005753F0: 005778A6 GetCurrentProcessId
005753F4: 005778BA VirtualQueryEx
005753F8: 005778C9 WriteProcessMemory
005753FC: 005778DC VirtualAlloc
00575400: 005778E9 GetWindowRect
00575404: 005778F7 LoadIconA
00575408: 00577901 LoadIconA
0057540C: 0057790B GdiplusStartup
00575410: 0057791A LocalSize
00575414: 00577924 RegisterClassExA
00575418: 00577935 GetModuleHandleA
0057541C: 00577946 GetModuleFileNameA
